类别,分类器,precision,recall,f1-score,support
游戏,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.3333333333333333,0.16666666666666666,0.2222222222222222,18.0
社会,<class 'sklearn.naive_bayes.GaussianNB'>,0.125,0.045454545454545456,0.06666666666666667,22.0
社会,<class 'sklearn.svm._classes.SVC'>,0.5,0.2727272727272727,0.3529411764705882,22.0
社会,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.3333333333333333,0.2727272727272727,0.3,22.0
社会,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.47368421052631576,0.4090909090909091,0.43902439024390244,22.0
科技,<class 'sklearn.naive_bayes.GaussianNB'>,0.2,0.07692307692307693,0.1111111111111111,13.0
科技,<class 'sklearn.svm._classes.SVC'>,0.2777777777777778,0.38461538461538464,0.3225806451612903,13.0
科技,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.13043478260869565,0.23076923076923078,0.16666666666666669,13.0
科技,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.3333333333333333,0.46153846153846156,0.3870967741935484,13.0
股票,<class 'sklearn.naive_bayes.GaussianNB'>,0.2631578947368421,0.29411764705882354,0.27777777777777773,17.0
股票,<class 'sklearn.svm._classes.SVC'>,0.3333333333333333,0.4117647058823529,0.36842105263157887,17.0
股票,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.3157894736842105,0.35294117647058826,0.33333333333333337,17.0
股票,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.35714285714285715,0.5882352941176471,0.4444444444444445,17.0
财经,<class 'sklearn.naive_bayes.GaussianNB'>,0.23529411764705882,0.2222222222222222,0.22857142857142856,18.0
财经,<class 'sklearn.svm._classes.SVC'>,0.2777777777777778,0.2777777777777778,0.2777777777777778,18.0
财经,<class 'sklearn.tree._classes.DecisionTreeClassifier'>,0.2,0.16666666666666666,0.1818181818181818,18.0
财经,<class 'sklearn.ensemble._forest.RandomForestClassifier'>,0.35294117647058826,0.3333333333333333,0.34285714285714286,18.0
